Workload,Replication,AllowReneging,LambdaInput,SimDuration,Warmup,E_r_sim,E_r_ci95,lambda_effective,E_N_sim,P_reject_N_max,total_in,total_out,total_rejected,total_reneged
WL-STRESS-REN-X100-REP01,1,1,16.666666666666664,600.0,51,3.4601765365530492,0.10478026231411362,15.09576207249922,52.23400172464923,0.0,10023,10023,0,9755
WL-STRESS-REN-X100-REP02,2,1,16.666666666666664,600.0,51,3.4389431983656307,0.10447516272885715,15.097430750045305,51.919206790664425,0.0,10172,10172,0,9927
WL-STRESS-REN-X100-REP03,3,1,16.666666666666664,600.0,51,3.458058584395149,0.1019504224391253,15.37652505075682,53.17292444993667,0.0,9994,9994,0,9735
WL-STRESS-REN-X100-REP04,4,1,16.666666666666664,600.0,51,3.5032929878859664,0.1068512580890214,15.833549354344237,55.46956242642054,0.0,10174,10174,0,9907
WL-STRESS-REN-X100-REP05,5,1,16.666666666666664,600.0,51,3.46636098100261,0.10530101884265171,15.33657566907733,53.16210748148366,0.0,10041,10041,0,9787
WL-STRESS-REN-X100-REP06,6,1,16.666666666666664,600.0,51,3.4785233131206947,0.10229386559393666,14.789813318337645,51.44671042454044,0.0,10091,10091,0,9853
WL-STRESS-REN-X100-REP07,7,1,16.666666666666664,600.0,51,3.5015394800848214,0.10395331423781826,15.485556165658096,54.22328628512275,0.0,10036,10036,0,9782
WL-STRESS-REN-X100-REP08,8,1,16.666666666666664,600.0,51,3.5093645384856367,0.10380944290605533,15.558942068771481,54.60199955249899,0.0,9980,9980,0,9703
WL-STRESS-REN-X100-REP09,9,1,16.666666666666664,600.0,51,3.4131007770255484,0.10467717290063998,14.948275330927707,51.01997014718119,0.0,9931,9931,0,9659
WL-STRESS-REN-X100-REP10,10,1,16.666666666666664,600.0,51,3.514340661453404,0.10710726295800556,15.361541744273415,53.98569077451391,0.0,9953,9953,0,9709
WL-STRESS-REN-X100-REP11,11,1,16.666666666666664,600.0,51,3.5428063934168907,0.10975629579060947,14.969605208156262,53.03441303838279,0.0,9913,9913,0,9658
WL-STRESS-REN-X100-REP12,12,1,16.666666666666664,600.0,51,3.4985272227366764,0.10291331744030899,15.82403714934668,55.360824740585834,0.0,10073,10073,0,9840
WL-STRESS-REN-X100-REP13,13,1,16.666666666666664,600.0,51,3.4414641876298333,0.10238130995147095,15.368738803702932,52.89096420198061,0.0,10150,10150,0,9877
WL-STRESS-REN-X100-REP14,14,1,16.666666666666664,600.0,51,3.5140643319293363,0.10783204109301132,15.680712972519103,55.10303415595102,0.0,10031,10031,0,9804
WL-STRESS-REN-X100-REP15,15,1,16.666666666666664,600.0,51,3.4753419742046296,0.10379092590957113,15.918995209538876,55.32395223887288,0.0,10041,10041,0,9771
WL-STRESS-REN-X100-REP16,16,1,16.666666666666664,600.0,51,3.501539214765122,0.10737309338282831,15.565107346909263,54.501833757231495,0.0,9895,9895,0,9651
WL-STRESS-REN-X100-REP17,17,1,16.666666666666664,600.0,51,3.4531559232350744,0.10604361542845832,14.966104265884162,51.68029159349161,0.0,9946,9946,0,9680
WL-STRESS-REN-X100-REP18,18,1,16.666666666666664,600.0,51,3.4430526976778357,0.10637249436620935,15.208749178449763,52.36452488716702,0.0,9958,9958,0,9693
WL-STRESS-REN-X100-REP19,19,1,16.666666666666664,600.0,51,3.457725766744803,0.10443379171223843,15.001795245154002,51.87209396659866,0.0,9963,9963,0,9698
WL-STRESS-REN-X100-REP20,20,1,16.666666666666664,600.0,51,3.4892783141893613,0.10280146323807925,15.097098395591575,52.67797803892068,0.0,9980,9980,0,9723
WL-STRESS-REN-X100-REP21,21,1,16.666666666666664,600.0,51,3.4643526163100575,0.1058257538285963,14.541391940615444,50.3765092142611,0.0,10003,10003,0,9748
WL-STRESS-REN-X100-REP22,22,1,16.666666666666664,600.0,51,3.506984399072357,0.10374347640194603,14.95111241968347,52.43331800460689,0.0,9956,9956,0,9678
WL-STRESS-REN-X100-REP23,23,1,16.666666666666664,600.0,51,3.459390423284679,0.10510659875413719,15.390894055896457,53.24311150275729,0.0,10060,10060,0,9797
WL-STRESS-REN-X100-REP24,24,1,16.666666666666664,600.0,51,3.5094814512041217,0.10560695660354705,15.260384189487784,53.55603525125602,0.0,10014,10014,0,9771
WL-STRESS-REN-X100-REP25,25,1,16.666666666666664,600.0,51,3.5333707458251213,0.10429960597588671,15.368682995465864,54.30325489803908,0.0,9957,9957,0,9713
WL-STRESS-REN-X100-REP26,26,1,16.666666666666664,600.0,51,3.475163126932124,0.10349256826728631,15.406897153659276,53.54148088883221,0.0,10076,10076,0,9836
WL-STRESS-REN-X100-REP27,27,1,16.666666666666664,600.0,51,3.5106374977139985,0.10530673212311739,15.38468658487295,54.010057615432494,0.0,9994,9994,0,9706
WL-STRESS-REN-X100-REP28,28,1,16.666666666666664,600.0,51,3.3892829703103406,0.10360277691101616,14.69006104773237,49.7887737418986,0.0,9740,9740,0,9483
WL-STRESS-REN-X100-REP29,29,1,16.666666666666664,600.0,51,3.496834181915982,0.10446122421484409,14.109737446075943,49.339412199298266,0.0,9905,9905,0,9611
WL-STRESS-REN-X100-REP30,30,1,16.666666666666664,600.0,51,3.505375199096467,0.10620338507302357,15.244636491693315,53.43817067722272,0.0,10006,10006,0,9769
